id,version,timestamp,lat,lon,name,is_in,place,tourism,created_by,bus,highway,operator,public_transport,admin_level,capital,capital_ISO3166-1,is_capital,is_in:country_code,is_in:province,name:ace,name:af,name:am,name:an,name:ang,name:ar,name:ast,name:az,name:bcl,name:be,name:be-tarask,name:bg,name:bo,name:br,name:bs,name:ca,name:ceb,name:cs,name:cv,name:cy,name:da,name:de,name:diq,name:el,name:en,name:eo,name:es,name:et,name:eu,name:ext,name:fa,name:fi,name:fr,name:fy,name:gd,name:gl,name:he,name:hif,name:hr,name:ht,name:hu,name:hy,name:id,name:io,name:is,name:it,name:ja,name:ka,name:kn,name:ko,name:ku,name:kw,name:la,name:lij,name:lmo,name:lt,name:lv,name:mk,name:mr,name:ms,name:mt,name:nah,name:nan,name:nl,name:nov,name:oc,name:os,name:pap,name:pl,name:pms,name:pnb,name:pt,name:qu,name:rmy,name:ro,name:roa-rup,name:ru,name:rw,name:sah,name:sc,name:scn,name:sco,name:sh,name:sk,name:sl,name:sq,name:sr,name:srn,name:sv,name:sw,name:ta,name:tg,name:th,name:tl,name:tr,name:uk,name:ur,name:vec,name:vi,name:vo,name:war,name:yo,name:yue,name:zh,name:zh-Hans,name:zh-Hant,population,rank,ref:LOCODE,source:population,wikidata,wikipedia,amenity,description,exit_to,is_in:country,is_in:continent,population:date,population:source,postal_code,alt_name,int_name,note:capital,name:bpy,ia_capital,name:sr-Latn,source:name:oc,addr:housenumber,historic,ele,natural,cargo,ferry,man_made,name:ce,name:ml,name:nn,access,barrier,motor_vehicle
26396457,53,2020-12-06T22:13:34Z,23.135305,-82.3589631,La Habana,,city,,,,,,,2,yes,yes,country,CU,La Habana,Havana,Havana,ሀቫና,L'Habana,Hafana,هافانا,L'Habana,Havana,Habana,Гавана,Гавана,Хавана,ཧ་ཝན,La Habana,Havana,l'Havana,La Habana,Havana,Гавана,La Habana,Havana,Havanna,Havana,Αβάνα,Havana,Havano,La Habana,Havanna,Habana,L'Avana,هاوانا,Havanna,La Havane,Havana,Havana,A Habana,הוואנה,Havana,Havana,La Avàn,Havanna,Հավանա,Havana,Havana,Havana,L'Avana,ハバナ,ჰავანა,ಲಾ ಹಬನ,아바나,Havana,La Habana,Havana,L'Avann-a,L'Avana,Havana,Havana,Хавана,हवाना,Havana,Ħavana,La Ahuana,La Habana,Havana,Havana,L'Avana,Гаванæ,Havana,Hawana,L'Avan-a,ہوانا,Havana,La Habana,La Habana,Havana,La Habana,Гавана,Havana,Хавана,S'Avana,L'Avana,Havana,Havana,Havana,Havana,Havana,Хавана,Havana,Havanna,Havana,அவானா,Ҳавана,ฮาวานา,Havana,Havana,Гавана,ہوانا,Ł'Avana,La Habana,La Habana,La Habana,Havana,夏灣拿,哈瓦那,哈瓦那,哈瓦那,2141993,3,CUHAV,"Wikipedia, 2010",Q1563,es:La Habana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26432403,6,2018-09-01T16:10:24Z,23.1286047,-82.352177,Terminal de Ferrocarriles (A40),,,,,yes,,,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26432426,3,2016-11-15T23:29:49Z,23.1306893,-82.3527352,Cuatro Esquinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,Sitio de culto y veneración para practicantes de tendencia afro,,,,,,,,,,,,,,,,,,,,,,,,,,
26434617,8,2016-04-10T20:58:10Z,23.1442465,-82.3567363,Salida Zulueta,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calle Zulueta,,,,,,,,,,,,,,,,,,,,,,,,,
26500496,5,2019-08-19T00:17:05Z,22.682145,-81.5864305,La Lanza,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26500707,6,2019-03-18T15:34:06Z,22.3753736,-80.0367662,Santa Clara,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26500935,5,2019-12-11T03:06:44Z,22.3788872,-80.0537684,Retorno a Santa Clara,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26527255,23,2019-12-07T02:05:46Z,22.4167422,-83.7002582,Pinar del Río,,city,,,,,,,,4,,,CU,Pinar del Río,,,,,,,,,,,,,,,,,,,,,,,,,Pinar del Rio,,,,,,,,,,,,,,,,Pinar del Río,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пинар-дель-Рио,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142967,,,,Q244139,es:Pinar del Río,,,,Cuba,Central America,2016,www.onei.cu,,,,,,,,,,,,,,,,,,,,,
26671739,17,2019-12-07T02:05:46Z,22.406572,-79.965149,Santa Clara,Cuba,city,,,,,,,,4,,,CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Санта-Клара,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216056,,,,Q211590,es:Santa Clara (Cuba),,,,,,2016,www.onei.cu,50100,,,,,,,,,,,,,,,,,,,,
36310608,18,2016-07-21T15:31:27Z,13.2835047,-59.6209883,Alleynedale,,,,,yes,,Barbados Transport Board,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36320267,8,2016-07-21T18:20:41Z,13.2849826,-59.6424945,Checker Hall,,,,,yes,,Barbados Transport Board,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36320359,6,2016-07-21T15:50:41Z,13.2932337,-59.6228035,St Lucy Church (St Lucy Ch),,,,,yes,,Barbados Transport Board,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
